2023-12-27 11:27:38,222 | DEBUG | Version 3.11.4 (main, Dec  7 2023, 15:43:41) [GCC 12.3.0]
2023-12-27 11:27:38,222 | INFO | Starting Script...
2023-12-27 11:27:38,222 | DEBUG | Opening PST for processing...
2023-12-27 11:27:38,339 | DEBUG | Starting traverse of PST structure...
2023-12-27 11:27:38,339 | DEBUG | Processing Folder: SPAM Search Folder 2
2023-12-27 11:27:38,339 | WARNING | Empty message not processed
2023-12-27 11:27:38,340 | DEBUG | Processing Folder: Elementos eliminados
2023-12-27 11:27:38,340 | WARNING | Empty message not processed
2023-12-27 11:27:38,340 | DEBUG | Processing Folder: Enviados
2023-12-27 11:27:38,340 | WARNING | Empty message not processed
2023-12-27 11:27:38,340 | DEBUG | Processing Folder: [Gmail]
2023-12-27 11:27:38,341 | WARNING | Empty message not processed
2023-12-27 11:27:38,341 | DEBUG | Processing Folder: Bandeja de entrada
2023-12-27 11:27:49,752 | INFO | Starting PST_Indexer v.0.01
2023-12-27 11:27:49,752 | DEBUG | System linux
2023-12-27 11:27:49,752 | DEBUG | Version 3.11.4 (main, Dec  7 2023, 15:43:41) [GCC 12.3.0]
2023-12-27 11:27:49,752 | INFO | Starting Script...
2023-12-27 11:27:49,752 | DEBUG | Opening PST for processing...
2023-12-27 11:27:49,867 | DEBUG | Starting traverse of PST structure...
2023-12-27 11:27:49,868 | DEBUG | Processing Folder: SPAM Search Folder 2
2023-12-27 11:27:49,868 | WARNING | Empty message not processed
2023-12-27 11:27:49,868 | DEBUG | Processing Folder: Elementos eliminados
2023-12-27 11:27:49,868 | WARNING | Empty message not processed
2023-12-27 11:27:49,869 | DEBUG | Processing Folder: Enviados
2023-12-27 11:27:49,869 | WARNING | Empty message not processed
2023-12-27 11:27:49,869 | DEBUG | Processing Folder: [Gmail]
2023-12-27 11:27:49,869 | WARNING | Empty message not processed
2023-12-27 11:27:49,869 | DEBUG | Processing Folder: Bandeja de entrada
2023-12-27 11:28:05,808 | INFO | Starting PST_Indexer v.0.01
2023-12-27 11:28:05,808 | DEBUG | System linux
2023-12-27 11:28:05,808 | DEBUG | Version 3.11.4 (main, Dec  7 2023, 15:43:41) [GCC 12.3.0]
2023-12-27 11:28:05,808 | INFO | Starting Script...
2023-12-27 11:28:05,808 | DEBUG | Opening PST for processing...
2023-12-27 11:28:05,926 | DEBUG | Starting traverse of PST structure...
2023-12-27 11:28:05,927 | DEBUG | Processing Folder: SPAM Search Folder 2
2023-12-27 11:28:05,927 | WARNING | Empty message not processed
2023-12-27 11:28:05,927 | DEBUG | Processing Folder: Elementos eliminados
2023-12-27 11:28:05,927 | WARNING | Empty message not processed
2023-12-27 11:28:05,928 | DEBUG | Processing Folder: Enviados
2023-12-27 11:28:05,928 | WARNING | Empty message not processed
2023-12-27 11:28:05,928 | DEBUG | Processing Folder: [Gmail]
2023-12-27 11:28:05,928 | WARNING | Empty message not processed
2023-12-27 11:28:05,928 | DEBUG | Processing Folder: Bandeja de entrada
